scope,species,tier,memory_class_mb,qchem_mem_total_mb,qchem_mem_static_mb,requested_memory_gib,pyscf_max_memory_mb,partition,account,qos,wall_hours,cpus,orbital_aos,auxiliary_aos,electron_count,spin,atom_count,real_atom_count,ghost_atom_count,has_gen_basis,has_ecp,static_df_three_center_gib,source_record_sha256,qchem_input_sha256,qchem_input_path
gscdb137,10prod1_CR20,small_mhg,3750,3750,1500,14,3750,mhg,mhg,normal,72,8,354,823,30,0,7,7,0,false,false,0.385293402,50ef8db548246029814e62ec93d8bc8d64eba3d25fadf784508aa829973cb25b,963ee2004c5d82951d8497321ebb6f6d22e6a7b3997ae77d1079cbbe51efde5e,/clusterfs/mhg-data/yaoshen/coach-based_dh_data/revwb97m2/authoritative_inputs/qchem/gscdb137_v1/species/10prod1_CR20/input0
gscdb137,10prod2_CR20,small_mhg,3750,3750,1500,14,3750,mhg,mhg,normal,72,8,195,471,22,0,3,3,0,false,false,0.067061260,5a7aab197493124b92f44261338cf54445a200c7b14acc6beccd7ff255e55041,ee38c8fc051887e8688d3157a6b1d62990589e02e744aa3a938d2f9a4f0f2bc0,/clusterfs/mhg-data/yaoshen/coach-based_dh_data/revwb97m2/authoritative_inputs/qchem/gscdb137_v1/species/10prod2_CR20/input0
gscdb137,10react_CR20,small_mhg,3750,3750,1500,14,3750,mhg,mhg,normal,72,8,549,1294,52,0,10,10,0,false,false,1.455557719,b08bee2f45bbb59df59605efb894da34fc4ddd0dbd801f0d6c9c20d602535d14,0d8c51a3b8302cba4e09498f18aaba1b50f55e1f83e97ba6a225b795fbb457db,/clusterfs/mhg-data/yaoshen/coach-based_dh_data/revwb97m2/authoritative_inputs/qchem/gscdb137_v1/species/10react_CR20/input0
gscdb137,11_Br2_XB18,small_mhg,3750,3750,1500,14,3750,mhg,mhg,normal,72,8,196,628,70,0,2,2,0,false,false,0.090332091,a8bb2f390dd38980aca0cf886998c9d3643103ee05b1191c1b7269b4613921ff,da1925669a9051f8415ebb7cedec0076ffc32d496726ed3ee75d9a7057dc9430,/clusterfs/mhg-data/yaoshen/coach-based_dh_data/revwb97m2/authoritative_inputs/qchem/gscdb137_v1/species/11_Br2_XB18/input0
gscdb137,11_Cl-_ClF_dim_Bauza30,small_mhg,3750,3750,1500,14,3750,mhg,mhg,normal,72,8,224,523,44,0,3,3,0,false,false,0.098195672,5b7084b36a99d67c76d43c8bdd3ea050ba05d04951d6555ca11e0ab17ce83c1e,910ccaf5b1208e9a9d99a907636e295795a6f702d0e7b918b26fc1a707425fcb,/clusterfs/mhg-data/yaoshen/coach-based_dh_data/revwb97m2/authoritative_inputs/qchem/gscdb137_v1/species/11_Cl-_ClF_dim_Bauza30/input0
gscdb137,11_Cl-_ClF_monA_Bauza30,small_mhg,3750,3750,1500,14,3750,mhg,mhg,normal,72,8,79,183,18,0,1,1,0,false,false,0.004308522,88b989cd7fd5b7d86cee8b9e3d58cfd8b62071593d0dc9332a9a25c8ac3df37c,d340275308865bb85bfd2acd6368a1af6a37c4c294a0af7261911eb527d45a56,/clusterfs/mhg-data/yaoshen/coach-based_dh_data/revwb97m2/authoritative_inputs/qchem/gscdb137_v1/species/11_Cl-_ClF_monA_Bauza30/input0
gscdb137,11_Cl-_ClF_monB_Bauza30,small_mhg,3750,3750,1500,14,3750,mhg,mhg,normal,72,8,145,340,26,0,2,2,0,false,false,0.026813895,afccd886dc28f6551562ebe6b49cc4071f82c8190ed2efc439e88070fc8ad3ff,dd0c6552cf17fce72da38636751bd9a986f05b7aaa08e30f6222f8560d5c29b3,/clusterfs/mhg-data/yaoshen/coach-based_dh_data/revwb97m2/authoritative_inputs/qchem/gscdb137_v1/species/11_Cl-_ClF_monB_Bauza30/input0
gscdb137,11_ClF-A_dim_CT20,small_mhg,3750,3750,1500,14,3750,mhg,mhg,normal,72,8,406,968,60,0,6,6,0,false,false,0.595876038,263cdb4ccd514477788edf5b35e99e1cc8b87c9f47862e8774b4b7fe9fdf7417,eea54ca787ebf1ad178cef8cc91cbd142c97c025504f518b26368f6140bd7bfc,/clusterfs/mhg-data/yaoshen/coach-based_dh_data/revwb97m2/authoritative_inputs/qchem/gscdb137_v1/species/11_ClF-A_dim_CT20/input0
gscdb137,11_ClF-A_monA_CT20,small_mhg,3750,3750,1500,14,3750,mhg,mhg,normal,72,8,261,628,34,0,4,4,0,false,false,0.159978479,eb0e05ebfad07512b22f8075b24d96c0712044ba019651dca860d0a9fc576af9,5d24121eae886b3ecda673f8b521446d7b66810bb6f2a132c7ec0b0f28e044c5,/clusterfs/mhg-data/yaoshen/coach-based_dh_data/revwb97m2/authoritative_inputs/qchem/gscdb137_v1/species/11_ClF-A_monA_CT20/input0
gscdb137,11_ClF-A_monB_CT20,small_mhg,3750,3750,1500,14,3750,mhg,mhg,normal,72,8,145,340,26,0,2,2,0,false,false,0.026813895,70b5b6edd453a46332427a60fa22aac8e4e1f79091f531fa96725df643922258,90a9087a7986f4d8f0f9fcd2284354f7ccb0b6b150dfaea363b28a3d246687e8,/clusterfs/mhg-data/yaoshen/coach-based_dh_data/revwb97m2/authoritative_inputs/qchem/gscdb137_v1/species/11_ClF-A_monB_CT20/input0
gscdb137,11_H2O_TA13,small_mhg,3750,3750,1500,14,3750,mhg,mhg,normal,72,8,132,287,10,0,3,3,0,false,false,0.018770143,a276e072fcfef5e15d7364ef135aab53d7120d593843d41897347f8beb3cbd61,0d77b94859f54a633fef073a23e54c5da9439771796c7deaf2511eda9cef6c93,/clusterfs/mhg-data/yaoshen/coach-based_dh_data/revwb97m2/authoritative_inputs/qchem/gscdb137_v1/species/11_H2O_TA13/input0
gscdb137,11_H_AE18,small_mhg,3750,3750,1500,14,3750,mhg,mhg,normal,72,8,80,65,1,1,1,1,0,false,false,0.001569092,4225aa04a55088e212635d5717f33acd5c51ee871eeae5261661434dda340888,455a392627792b8fe642e0e266002d360774b6c27806d99d73bc3def75c006be,/clusterfs/mhg-data/yaoshen/coach-based_dh_data/revwb97m2/authoritative_inputs/qchem/gscdb137_v1/species/11_H_AE18/input0
gscdb137,11_Isomer1_Styrene45,small_mhg,7500,7500,3000,21,7500,mhg,mhg,normal,72,8,768,1776,56,0,16,16,0,false,false,3.907424927,5a86730d4a10eafaca44e2708ae05889514307addacf160fe5d592f6fe4f37c4,3bfbc9fb80034ff2dda0b514a0b46e991362f71ad612242a626fc212d0e4ac9f,/clusterfs/mhg-data/yaoshen/coach-based_dh_data/revwb97m2/authoritative_inputs/qchem/gscdb137_v1/species/11_Isomer1_Styrene45/input0
